"Jahr";"KennZahlen_1";"KennZahlen_2";"KennZahlen_3";"KennZahlen_4";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2014 HJ IST";"2014 Q1 IST";"2014 Q3 IST";"2015 HJ IST";"2015 PLAN 2015-17";"2015 Q1 IST";"2015 Q3 IST";"2016 HJ IST";"2016 PLAN 2016-18";"2016 Q1 IST";"2016 Q3 IST";"2017 HJ IST";"2017 Q1 IST";"2017 Q2 IST";"2017 Q3 IST";"2018 HJ IST";"2018 Q1 IST";"2018 Q2 IST";"2018 Q3 IST";"2019 HJ IST";"2019 Q1 IST";"2019 Q2 IST";"2019 Q3 IST";"2020 HJ IST";"2020 Q1 IST";"2020 Q2 IST";"2020 Q3 IST";"2021 HJ IST";"2021 Q1 IST";"2021 Q2 IST";"2021 Q3 IST";"2022 HJ IST";"2022 Q1 IST";"2022 Q2 IST";"2022 Q3 IST";"2023 Q1 IST";"2023 Q2 IST";"2023 Q3 IST"
2015;"Kapitalanlageergebnis";;;;1731385,86;3498994,841;4028735,35198934;4928720,94178197;6079771,40599998;7167438,462;4701404,27516306;3381089,13112082;1381382,07101638;1926261,9828962;503468,876619913;-2611419,04399515;2680029,26505724;3430916,17998088;11553031,1526589;13108640,8019002;16514393,5634247;20277824,66033;;;;;;;;;;;;;;;;;;;;;;;3699924,38258153;1930412,96129076;5160611,96387229;10656878,1037555;2754170,21991233;5467821,91187773;16482442,0456332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Kapitalanlageergebnis";"Abschlusskostenergebnis";;;-51043,6599999999;303728,87;169954,85;62747,26;-91029,27;185323,76;525411,455505222;-25990,5443511554;41299,0618821715;70007,6197117373;12558,8270447571;10623,442731728;6291,08622988011;854,503320814576;-8274,71779298689;-17290,1804777252;-31454,5693151294;-41699,3233093788;;;;;;;;;;;;;;;;;;;;;;;-666023,468721278;-1507140,43848312;-638030,476165067;-1436966,27735441;-90729,3046772322;-1424553,58349754;-951528,127596837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Kapitalanlageergebnis";"Verwaltungskostenergebnis";;;966305,71;989002,42;1093667,5;947687,03;948264,56;1023797,97;1001748,05;1189709,1601254;1219840,83628089;1238078,14225938;1244509,2344062;1243730,89048404;1230076,23139346;1208366,10880595;1191420,61859642;1165059,33835424;1133100,72951192;1110284,30593202;;;;;;;;;;;;;;;;;;;;;;;418643,731833853;218455,122466286;593167,097588387;439770,838156029;1192148,51469392;245766,72432333;660279,49168724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Kostenergebnis";;;;915262,05;1292731,29;1263622,35;1010434,29;857235,29;1209121,73;1527159,50550522;1163718,61577424;1261139,89816307;1308085,76197112;1257068,06145095;1254354,33321576;1236367,31762334;1209220,61212677;1183145,90080344;1147769,15787652;1101646,16019679;1068584,98262264;;;;;;;;;;;;;;;;;;;;;;;-247379,736887425;-1288685,31601683;-44863,3785766807;-997195,439198376;1101419,21001669;-1178786,85917421;-291248,635909597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Sonstiges Ergebnis";;;;-745160,235933023;-503599,96;-777324,68;-537096,4;-1379778,48;-449984,09;-1562851,45;-1007530,32554543;-949860,603737768;-972254,033323462;-919392,25174164;-894110,976882309;-235962,236882309;-235961,236882309;-235960,236882309;-447438,6074393;-883648,526335438;-837351,78442116;;;;;;;;;;;;;;;;;;;;;;;-262402,97;-46207,59;-488900,11;-623062,2;-1125735,04955188;-320858,69;-930355,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Unterschied Tarif / Normbeitrag";;;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Rohüberschuss nach Steuern";;;;2342157,18;4467812,51;5416111,1;5127479,92;3051661,54000001;8588542,08999998;4896760,98999998;3267805,81247821;1522767,22388228;2073110,31015115;670704,141245259;-2402112,59528355;3590089,64465873;4312890,93445032;12499165,9094958;13851540,920719;17183016,3548981;21968750,5950265;;;;;;;;;;;;;;;;;;;;;;;4467812,51;2342157,18;5416111,1;2923087,9;2805602,43956886;1100279,32;4842200,26999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Überschussverwendung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Jahresüberschuss";;;;-698565,999999994;451861,790000002;502831,360000004;614408,020000004;364576,940000011;989999,999999991;479999,999999984;320000,000000005;150000,000000006;199999,999999993;60000,0000000114;-2864320,73045928;350000,000000011;430000,000000003;1240000;1380000;1709999,99999999;1588605,45246115;;;;;;;;;;;;;;;;;;;;;;;437694,010000006;248219,85;412306,590000002;260000,000000005;280000,000000009;89999,9999999996;419999,999999993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Direktgutschrift";;;;0;8780,03;85062,32;125625,55;218028,37;512779,36;370480,44;383902,628469469;407813,288905732;429081,399809231;446662,597818045;462208,135175722;478521,217871688;493056,903459606;505431,749735826;518672,888166538;532336,834048498;544082,084148255;;;;;;;;;;;;;;;;;;;;;;;169807,18;113285,11;229456,46;-16957,29;356213,738949666;-6320,87;-14163,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Entwicklung der RfB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"RfB am Anfang des GJ";;;;13407751,93;13407751,93;13407751,93;7724662,31;9621202,67;9754968,17;13407751,93;15145620,34;14485917,0473515;14650713,1354468;15545450,7672664;15258952,7764938;14926757,6238681;17356235,8709182;20398722,3548274;30887518,1223855;42426108,2681135;57001683,9806765;;;;;;;;;;;;;;;;;;;;;;;13407751,93;13407751,93;13407751,93;15145620,34;15145620,34;15145620,34;15145620,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Zuführung zur RfB";;;;2576976,76;3922152,37;3627119,62;4387446,35;2469056,23;7085762,73;4046280,55;2563903,18400874;964953,934976549;1444028,91034192;164041,543427214;0;2761568,42678705;3389834,03099071;10753734,1597599;11952868,0325525;14940679,5208496;19234668,5108783;;;;;;;;;;;;;;;;;;;;;;;4021338,47;2093937,33;4918742,19;2451453,83;2169388,7006192;891020,89;3915812,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Entnahme";;;;-836371,67;-975186,47;-1116310,2;-2490905,99;-2335290,73;-3432978,97;-2308412,14;-3223606,47665722;-800157,846881266;-549291,278522304;-450539,534199814;-332195,152625686;-332090,179737018;-347347,547081469;-264938,392201821;-414277,886824491;-365103,808286613;-239502,260052391;;;;;;;;;;;;;;;;;;;;;;;-975186,47;-836371,67;-1116310,2;-1078441,86;-2157368,89539213;-981997,77;-1173367,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"RfB am Ende des GJ";;;;14665317,59;16453903,93;17210183,92;9621202,67;9754968,17;13407751,93;15145620,34;14485917,0473515;14650713,1354468;15545450,7672664;15258952,7764938;14926757,6238681;17356235,8709182;20398722,3548274;30887518,1223855;42426108,2681135;57001683,9806765;75996850,2315024;;;;;;;;;;;;;;;;;;;;;;;16453903,93;14665317,59;17210183,92;16518632,31;15157640,1452271;15054643,46;17888064,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Bindung laufender Überschuss Folgejahr";;;;2189746,09;2189746,09;2189746,09;2515752,69;2322082,1;2189746,09;2074028,63;676951,929597895;408975,487704829;280987,800557556;182069,18885828;153638,403079089;131596,95755689;77538,2860357191;91245,7896360417;105334,243836184;29899,5407673009;136875,203922387;;;;;;;;;;;;;;;;;;;;;;;2189746,09;2189746,09;2189746,09;2074028,63;2319839,54139966;2074028,63;2074028,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Bindung Schlussüberschuss Folgejahr";;;;12477,71;12477,71;12477,71;5874,61;8545,28;12477,71;14883,51;56888,0760323184;65011,4620653223;82292,2262356283;67271,4892272795;84563,8758016838;106638,60082883;85406,8858950464;169146,877195212;130485,074192055;100753,364693856;184884,459188444;;;;;;;;;;;;;;;;;;;;;;;12477,71;12477,71;12477,71;14883,51;91227,0216532201;14883,51;14883,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Bindung für noch nicht zugeteilte Bewertungsreserven Folgejahr";;;;38347,97;38347,97;38347,97;10572,43;22702,39;38347,97;41270,36;58268,7767332774;66545,9171158095;85796,0445426063;70951,7848097222;86322,742798122;111459,170388705;90223,2218195861;180517,491413923;136153,365243435;108152,600124354;194462,841257425;;;;;;;;;;;;;;;;;;;;;;;38347,97;38347,97;38347,97;41270,36;5462,8867483264;41270,36;41270,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Bindung Schlussüberschussanteilsfonds";;;;2644653,75;2644653,75;2644653,75;1672127,95;2236395,38;2644653,75;3415545,36;3497303,46015486;3503087,22001849;3493287,25635944;3499283,49450072;3488996,82826981;3456938,26135026;3446725,30206437;3352325,35550412;3294906,51492906;3266006,45156834;3152237,20304023;;;;;;;;;;;;;;;;;;;;;;;2644653,75;2644653,75;2644653,75;3415545,36;5059230,55132343;3415545,36;3415545,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Bindung Fonds für Bewertungsreserven";;;;1980114,82;1980114,82;1980114,82;1491139,54;1724219,17;1980114,82;2130265,13;2211027,33100211;2215907,48311945;2203712,35508351;2207425,92360681;2196916,72003476;2161812,40164416;2148550,83415264;2044775,1713333;1983423,91128653;1949113,06889856;1827716,09715213;;;;;;;;;;;;;;;;;;;;;;;1980114,82;1980114,82;1980114,82;2130265,13;194683,303103823;2130265,13;2130265,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Summe Bindung";;;;6865340,34;6865340,34;6865340,34;5695467,22;6313944,32;6865340,34;7675992,99;6500439,57352046;6259527,5700239;6146075,68277873;6027001,8810028;6010438,56998347;5968445,39176884;5848444,52996736;5838010,6850826;5650303,10948726;5453925,02605242;5496175,80456061;;;;;;;;;;;;;;;;;;;;;;;6865340,34;6865340,34;6865340,34;7675992,99;7670443,30422846;7675992,99;7675992,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Freie RfB";;;;7799977,25;9588563,59;10344843,58;3925735,45;3441023,85;6542411,59;7469627,35;7985477,47383105;8391185,5654229;9399375,08448768;9231950,89549101;8916319,05388466;11387790,4791493;14550277,82486;25049507,4373029;36775805,1586263;51547758,9546241;70500674,4269418;;;;;;;;;;;;;;;;;;;;;;;9588563,59;7799977,25;10344843,58;8842639,32;7487196,84099861;7378650,47;10212072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Zuführung zur RfB";;;;2576976,76;3922152,37;3627119,62;4387446,35;2469056,23;7085762,73;4046280,55;2563903,18400874;964953,934976549;1444028,91034192;164041,543427214;0;2761568,42678705;3389834,03099071;10753734,1597599;11952868,0325525;14940679,5208496;19234668,5108783;;;;;;;;;;;;;;;;;;;;;;;4021338,47;2093937,33;4918742,19;2451453,83;2169388,7006192;891020,89;3915812,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Solvabilität";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Solvabilität - Ist";;;;22725183,12;27622401,7;29536830,42;22924369,94;24255154,13;29668844,62;32655251,03;34311770,194988;35536290,9385608;37380634,1059306;40941068,4635985;41398468,76173;44152777,3016845;47721790,1206178;59262844,1236811;72250371,7443826;88669114,6346317;107265469,339136;;;;;;;;;;;;;;;;;;;;;;;33614070,99;31390947,46;34664888,16;34617337,37;33319072,6154258;32818811,33;36311307,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Solvabilität - Soll";;;;9733798,42970124;11445485,3388236;13298998,4842566;15116746,2645084;17071660,6643241;18951894,0589142;21061928,2957184;22054165,0012604;24100480,1668697;26284617,5162852;28575462,991266;30862459,1596323;32821246,0275794;34668436,9035643;36217556,0876253;37439157,4087989;38542256,2431131;39538883,208565;;;;;;;;;;;;;;;;;;;;;;;20006911,1773163;19479402,6181152;20534419,7365174;21558046,6484894;22438274,8218203;21309987,4721039;21806105,8248749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Solvabilität";;;;2,3346675282136;2,41338841318537;2,22098156150373;1,51648837248943;1,42078469147924;1,56548176808982;1,55043975895779;1,55579547867839;1,47450551576195;1,42214868003199;1,43273508730592;1,34138593906602;1,34524988065911;1,37651980830181;1,63630157651443;1,92980763310134;2,30056886331027;2,71291095333467;;;;;;;;;;;;;;;;;;;;;;;1,68012296811271;1,61149436024323;1,68813575473739;1,60577337708032;1,48492131770418;1,5400671339184;1,66518990238865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Kapitalanlagen";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Nettoverzinsung";;;;0;0,0383852113714811;0,0409165201378152;0,0386;0,039559907770071;0,0407098236551859;0,0454;0,0431889436102626;0,0403743149516344;0,0440119589263355;0,045672396723875;0,0385496909171492;0,0368971286493362;0,0367635078580077;0,0366450489773322;0,036544606223021;0,0364589385317337;0,0363775054609759;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0,0421369119680708;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Rendite 10-jährige Bundesanleihe";;;;;;0,0296;0,01829;0,015;0,0193;0,015;0,018;0,02;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023;;;;;;;;;;;;;;;;;;;;;;;;;;;0,018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Stille Reserven/Stille Lasten";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Stille Reserven";;;;;;5251300,08999999;18270095,23;29628539,5542653;27019412,3997907;48091092,3532163;36757001,837;12273521,7757666;-12794942,2834257;-27567257,5406449;-27565908,9559567;-26568727,3240914;-25608700,979955;-24684395,6189565;-23794434,5364079;-22937496,2180402;-22112312,035309;;;;;;;;;;;;;;;;;;;;;;;;;;;31839792,1642839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Stille Lasten";;;;;;-4977982,03999999;-9061059,36000001;-2916134,1668;-819140,892421281;-1498256,78504331;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;-1493362,57304562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Saldo Bewertungsreserven";;;;0;0;273318,050000004;9209035,86999999;26712405,3874653;26200271,5073694;46592835,5681729;36757001,837;12273521,7757666;-12794942,2834257;-27567257,5406449;-27565908,9559567;-26568727,3240914;-25608700,979955;-24684395,6189565;-23794434,5364079;-22937496,2180402;-22112312,035309;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;30346429,5912383;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Zinszusatzreserve (Bilanzwert)";;;;;;;;0;0;-4779350,87;-10844312,8720191;-18898983,9357026;-29826329,5274296;-44559660,8528675;-58194365,2644275;-65973670,321264;-73503380,9259705;-73521611,7960805;-72511447,8945594;-68732212,5722156;-61738697,981141;;;;;;;;;;;;;;;;;;;;;;;;;;;-10927241,7411798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Zinszusatzreserve (Bilanzwert)";"Aufwand";;;;;;;0;0;-4779350,87;-6064962,0020191;-8054671,06368345;-10927345,591727;-14733331,325438;-13634704,4115599;-7779305,05683657;-7529710,60470652;-18230,8701099578;1010163,90152105;3779235,32234384;6993514,59107461;;;;;;;;;;;;;;;;;;;;;;;;;;;-6147890,87117977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Kosten";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Verwaltungskostenquote";;;;0,0210100346651262;0,0215622208181509;0,0198424687874037;0,0245852521324829;0,0189605681556379;0,0185411753023676;0,019015195483924;0,0208426091242184;0,0203513032196979;0,0200534570581828;0,0198993308231949;0,0198653467574968;0,0200411659835218;0,0203228104161161;0,0205915388933664;0,0209254774665125;0,0213446654374257;0,0217063104208904;;;;;;;;;;;;;;;;;;;;;;;0,0211053920126482;0,0205554462460257;0,0222371577890914;0,0206097129289021;0,0193607608423841;0,0194358128780432;0,0205637625246811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Abschlusskostenquote";;;;0,0224026586454453;0,020651312861249;0,0194342894942878;0,0212316524741146;0,0199161705258818;0,0195113086393341;0,0170530180925461;0,0178011373284876;0,0183145453021163;0,0189574999052206;0,0196109088214334;0,0203943788586177;0,0211571735642396;0,0219055546381723;0,0226322080751385;0,0233367528993867;0,0240191729056165;0,0246797659836981;;;;;;;;;;;;;;;;;;;;;;;0,0107718267856386;0,0128848709186226;0,0108561146631924;0,0236888858007789;0,0237901262627939;0,0225846885727629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Funktionsbereichskosten";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Verwaltungskosten";;;;879313,51;904339,39;847142,07;1055864,74;829073,44;827637,65;840472,93;888751,168683002;888751,168683002;888751,168683002;888751,168683002;888751,168683002;888751,168683002;888751,168683002;888751,168683002;888751,168683002;888751,168683002;888751,168683002;;;;;;;;;;;;;;;;;;;;;;;406271,33;207824,46;625413,22;384936,31;885795,335791883;189988,56;568018,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Abschlusskosten";;;;1917525,73;1412163;1706258,88;1640427,9;1848287,1;1473907,46;1023520,34;981972,194572672;914972,194572672;886972,194572672;856972,194572672;856972,194572672;856972,194572672;856972,194572672;856972,194572672;856972,194572672;856972,194572672;856972,194572672;;;;;;;;;;;;;;;;;;;;;;;392969,64;285552,16;540659,17;518559,47;1534223,47708341;266790,87;643561,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Regulierungskosten";;;;59841,21;60053,21;74456,98;79262,48;413044,43;431406,9;416017,82;248190,184620961;248190,184620961;248190,184620961;248190,184620961;248190,184620961;248190,184620961;248190,184620961;248190,184620961;248190,184620961;248190,184620961;248190,184620961;;;;;;;;;;;;;;;;;;;;;;;205728,16;106631,74;302858,13;180697,32;280248,06193504;87057,09;258370,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Kosten der Kapitalanlage";;;;303826,78;371480,7;353964,58;387565,92;655816,08;724015,95;794670,64;804043,875241056;816628,875241056;829466,875241056;829466,875241056;829466,875241056;829466,875241056;829466,875241056;829466,875241056;829466,875241056;829466,875241056;829466,875241056;;;;;;;;;;;;;;;;;;;;;;;399529,32;190286,31;608545,89;483242,15;764004,482239683;262612,69;702456,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Untenehmen als Ganzes";;;;155656,83;867028,9;175344,87;199323,96;243068,35;278073;283135,53;249541,576882309;251281,576882309;252930,576882309;252930,576882309;252930,576882309;252930,576882309;252930,576882309;252930,576882309;252930,576882309;252930,576882309;252930,576882309;;;;;;;;;;;;;;;;;;;;;;;141256,25;86909,25;201258,77;149940,74;267285,894649982;94634,56;205725,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Summe Funktionsbereichskosten";;;;3316164,06;3615065,2;3157167,38;3362445;3989289,4;3735040,96;3357817,26;3172499;3119824;3106311;3076311;3076311;3076311;3076311;3076311;3076311;3076311;3076311;;;;;;;;;;;;;;;;;;;;;;;1545754,7;877203,92;2278735,18;1717375,99;3731557,2517;901083,77;2378131,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I. Versicherungstechnische Rechnung";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I. Versicherungstechnische Rechnung";"1. Verdiente Beiträge für eigene Rechnung";;;41840355,21;42143790,32;42398776,51;43316751,64;43721819,59;44723347,49;44250795,39;42632238,8001537;43674093,5264135;44423271,3361249;44763374,4303829;44825537,8405176;44469896,9982185;44002696,3133814;43300520,723352;42689688,8973676;41719400,097056;41039111,2780614;;;;;;;;;;;;;;;;;;;;;;;19744616,91;9767696,72;29470371,2;19231499,57;45790644,1426332;9530822,21;29021116,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I. Versicherungstechnische Rechnung";"1. Verdiente Beiträge für eigene Rechnung";"a)";"Gebuchte Bruttobeiträge";41852073,26;41940920,54;42693380,5;42947077,96;43726191,81;44637820,23;44200067,82;42641070,6733593;43670479,4326284;44319099,998788;44662364,6081135;44738769,4527711;44346280,5214901;43731705,9247976;43160988,2721935;42472205,0001148;41638093,1942212;40944368,3173193;;;;;;;;;;;;;;;;;;;;;;;19249646,24;10110432,9;28124692,28;18677422,21;45752093,2675704;9775179,52;27622301,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I. Versicherungstechnische Rechnung";"1. Verdiente Beiträge für eigene Rechnung";"b)";"Veränderung der Bruttobeitragsüberträge";-11718,05;202869,78;-294603,99;369673,68;-4372,22;85527,26;50727,57;-8831,87320565866;3614,09378514414;104171,337336991;101009,822269411;86768,387746433;123616,476728365;270990,388583811;139532,451158489;217483,897252793;81306,9028347593;94742,9607420303;;;;;;;;;;;;;;;;;;;;;;;494970,67;-342736,18;1345678,92;554077,36;38550,8750627582;-244357,31;1398815,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"I. Versicherungstechnische Rechnung";"2. Beiträge aus RfB";;;1547045,3;2006374,09;2363957,26;2184227,83;2194212,85;3002400,81;2017361,48;3758897,32785156;421923,905861949;322231,485627129;241081,35632708;230936,570095632;206309,981186007;170063,776723649;172170,285265949;202108,291625726;213058,860390156;116554,163746712;;;;;;;;;;;;;;;;;;;;;;;767515,17;695259,35;869584,86;749482,05;3068608,01754854;678161,95;821753,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
