"Jahr";"A";"B";"2. Jahr";"3. Jahr";"4. Jahr";"5. Jahr"
2015;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.1._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich genehmigte Tarife  (in A.7. enthalten)";8055;10927;13797;10627
2015;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.2._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich nicht genehmigte Tarife (Zinszusatzreserve gem. § 5 Abs.3 DeckRV; in A.7. enthalten)";0;0;936;3008
2015;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.3._Veränderung der Deckungsrückstellung zur Verstärkung anderer, bereits feststehender Rechnungsgrundlagen für aufsichtsrechtlich genehmigte und nicht genehmigte Tarife (in A.7. enthalten)";1100;1100;1100;1100
2015;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.4._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlagen (Zins und andere), die nicht schon in D.1. bis D.3. enthalten ist (in A.7. enthalten)";0;0;0;0
2015;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.5._Durchschnittlicher Rechnungszins am Ende des zweiten bis fünften Geschäftsjahres in %";2,68;2,63;2,56;2,51
2015;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.6._Erwarten Sie für das zweite bis fünfte Geschäftsjahr einen Antrag auf Reduzierung der Mindestzuführung zur RfB gem. MindZV zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben).";0;0;0;0
2015;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.7._Erwarten Sie für das zweite bis fünfte Geschäftsjahr einen Antrag auf Entnahme aus der RfB aufgrund § 56b Abs. 1 Satz 2 VAG zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben)";0;0;0;0
2015;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.8._Deckungsrückstellung zum Ende des Geschäftsjahres (ohne FLV)";582766;637615;695065;752349
2015;"E.";"Angaben zu den Kapitalanlagen in Szenario 1.2";42277;42369;42277;42369
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"";;;;
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.1._Kapitalanlagen gesamt";540513;108305,705047;4,03312961357219;2,95
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2._Anlagen mit Rentencharakter";421812;80981,6;4,08;2,53
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.1._davon: a. Renten mit Laufzeit bis 5 Jahre";85808;0;4,71674298797939;0
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.2._davon: b. Renten mit Laufzeit 5 bis 10 Jahre";141718;0;4,28676027194798;0
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.3._davon: c. Renten mit Laufzeit ab 10 Jahre";194285;80981,6;3,66;2,53
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.4._davon: a. Investment Grade (AAA bis BBB)";400643;78807,25;4,03;2,49
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.5._davon: b. Speculative Grade (BB bis B)";21168;2174,35;5,02;3,77
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.6_davon: c. Default risk/Default (CCC bis D)";0;0;0;0
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.7._davon: d. ohne Rating (nr)";0;0;0;0
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.8._davon: a. Staaten und Gebietskörperschaften";177564;41245,9;3,73;2,54
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.9._davon: b. Banken";80345;2073,87;4,60912337662338;1,75
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.10._davon: unbesichert";45242;0;4,7532182320442;0
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.11._davon: c. Unternehmen";163903;37661,83;4,22;2,55
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.3._Anlagen mit Eigenkapitalcharakter";96752;8000;4,25;4,25
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.4._Immobilien";15537;19324,105047;1,3;4,25
2015;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.5._Sonstige Kapitalanlagen";6412;0;4,3;0
2015;"F.";"Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";2016;2017;2018;2019
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"";;;;
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.1._gesamte Neu- und Wiederanlage";3,24014235518918;3,45360378423748;3,5635698294838;3,47595751198685
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2._Anlagen mit Rentencharakter";2,83;3,23;3,43;3,43
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.1._davon: a. Renten mit Laufzeit bis 5 Jahre";0;0;0;0
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.2._davon: b. Renten mit Laufzeit 5 bis 10 Jahre";0;0;0;0
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.3._davon: c. Renten mit Laufzeit ab 10 Jahre";2,83;3,23;3,43;3,43
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.4._davon: a. Investment Grade (AAA bis BBB)";2,83;3,23;3,43;3,43
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.5._davon: b. Speculative Grade (BB bis B)";0;0;0;0
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.6_davon: c. Default risk/Default (CCC bis D)";0;0;0;0
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.7._davon: d. ohne Rating (nr)";0;0;0;0
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.8._davon: a. Staaten und Gebietskörperschaften";0;0;0;0
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.9._davon: b. Banken";0;0;0;0
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.10._davon: unbesichert";0;0;0;0
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.2.11._davon: c. Unternehmen";0;0;0;0
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.3._Anlagen mit Eigenkapitalcharakter";4,25;4,25;4,25;4,25
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.4._Immobilien";5,05871458199307;3,94169114166768;3,96297969796255;4,14923380399752
2015;"F._Angenommen Verzinsung der Neu- und Wiederanlage in Szenario 1.2 (in %)";"F.5._Sonstige Kapitalanlagen";0;0;0;0
2015;"G.";"Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";2016;2017;2018;2019
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"";;;;
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.1._Neu- und Wiederanlage gesamt (II.C.7.)";147421,985121765;60075,9607413606;58719,0608817328;69028,0245716895
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2._Anlagen mit Rentencharakter";119203,861348265;42500,5198567606;45619,0608817328;65037,5868826895
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.1._davon: a. Renten mit Laufzeit bis 5 Jahre";0;0;0;0
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.2._davon: b. Renten mit Laufzeit 5 bis 10 Jahre";0;0;0;0
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.3._davon: c. Renten mit Laufzeit ab 10 Jahre";119203,861348265;42500,5198567606;45619,0608817328;65037,5868826895
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.4._davon: a. Investment Grade (AAA bis BBB)";119203,861348265;42500,5198567606;45619,0608817328;65037,5868826895
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.5._davon: b. Speculative Grade (BB bis B)";0;0;0;0
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.6_davon: c. Default risk/Default (CCC bis D)";0;0;0;0
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.7._davon: d. ohne Rating (nr)";0;0;0;0
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.8._davon: a. Staaten und Gebietskörperschaften";0;0;0;0
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.9._davon: b. Banken";0;0;0;0
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.10._davon: unbesichert";0;0;0;0
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.2.11._davon: c. Unternehmen";0;0;0;0
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.3._Anlagen mit Eigenkapitalcharakter";3000;3000;3000;3000
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.4._Immobilien";25218,1237735;14575,4408846;10100;990,437689
2015;"G._Aufteilung der Neu- und Wiederanlage in Szenario 1.2 (in Tsd. Euro)";"G.5._Sonstige Kapitalanlagen";0;0;0;0
2016;"A.";"Ergebnisprognose des zweiten bis fünften Geschäftsjahres";;;;
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.1._Verdiente Beiträge für eigene Rechnung";42403;42359;42213;41692
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.2._Beiträge aus der Brutto-Rückstellung für Beitragsrückerstattung";167;112;93;52
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3._Erträge aus Kapitalanlagen";22470;25320;32019;32083
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3.1._davon: laufende Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 1, Zeile 26 ./. Zeile 25)";21770;22870;23319;21533
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.3.2._davon: übrige Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 2, Zeile 26 ./. Zeile 25)";700;2450;8700;10550
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.4._Nicht realisierte Gewinne aus Kapitalanlagen";425;481;545;624
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.5._Sonstige versicherungstechnische Erträge für eigene Rechnung";5019;5019;19;19
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.6._Aufwendungen für Versicherungsfälle für eigene Rechnung";14027;16252;17804;20390
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.7._Veränderung der übrigen versicherungstechnischen Netto-Rückstellungen";51892;52473;52532;48890
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.8._Aufwendungen für die erfolgsabhängige Beitragsrückerstattung für eigene Rechnung";5;1;9;7
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.9._Aufwendungen für den Versicherungsbetrieb für eigene Rechnung";1660;1633;1623;1623
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10._Aufwendungen für Kapitalanlagen";2364;2404;2444;2444
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10.1._davon: laufende Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 3, Zeile 26 ./. Zeile 25)";993;1033;1073;1073
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.10.2._davon: übrige Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 4, Zeile 26 ./. Zeile 25)";1371;1371;1371;1371
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.11._Nicht realisierte Verluste aus Kapitalanlagen";0;0;0;0
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.12._Sonstige versicherungstechnische Aufwendungen für eigene Rechnung";120;84;45;23
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.13._Versicherungstechnisches Ergebnis für eigene Rechnung";416;444;432;1093
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.14._Saldo der Posten II.1., II.2., II.4., II.5. und II.7. bis II.10. aus Formblatt 3 RechVersV";-266;-294;-292;-473
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.16._Jahresüberschuss/Jahresfehlbetrag";150;150;140;620
2016;"A._Ergebnisprognose des zweiten bis fünften Geschäftsjahres";"A.17._nachrichtlich: Ergebnis aus dem abgegebenen VG";0;0;0;0
2016;"B.";"Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";;;;
2016;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.1._Eigenmittel A (gem. Rundschreiben 4/2005 (VA))";36730;31614;31523;31885
2016;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.2._davon: ungebundene, zur Verlustdeckung verwendbare Rückstellung für Beitragsrückerstattung";13239;7973;7742;7485
2016;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.3._Eigenmittel B (gem. Rundschreiben 4/2005 (VA))";0;0;0;0
2016;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.4._davon: stille Nettoreserven";0;0;0;0
2016;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.5._Mindestbetrag der Mindestkapitalanforderung";0;0;0;0
2016;"B._Angaben zur Solvabilität zum Ende des zweiten bis fünften Geschäftsjahres";"B.6._Solvabilitätsspanne";25787;27822;29859;31748
2016;"C.";"Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";;;;
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.1._Unsaldierte stille Reserven zum Ende des zweiten bis fünften Geschäftsjahres";59687;43422;11554;6954
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.2._davon: in zum Nennwert bilanzierten Kapitalanlagen";12983;9445;2513;1513
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.3._davon: in Immobilien";0;0;0;0
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.4._davon: in Anteilen an verbundenen Unternehmen und Beteiligungen";0;0;0;0
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.5._Unsaldierte stille Lasten zum Ende des zweiten bis fünften Geschäftsjahres";243;1416;2888;2744
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.6_davon: in zum Nennwert bilanzierten Kapitalanlagen";33;190;388;368
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.7._Neu- und Wiederanlage (ohne FLV) im zweiten bis fünften Geschäftsjahr";60462;56989;67602;74092
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.8._Buchwert der Kapitalanlagen zum Ende des zweiten bis fünften Geschäftsjahres (Formblatt 1, Aktivseite, C., RechVersV)";656855;705390;756072;804921
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.9._Bewertungsreserven in festverzinslichen Anlagen und Zinsabsicherungsgeschäften gem. § 139 Abs. 3 VAG";59445;42007;8666;4210
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das zweite bis fünfte Geschäftsjahr";"C.10._Sicherungsbedarf gem. § 139 Abs. 4 VAG";268494;277637;285778;292664
2016;"D.";"sonstige Angaben zum zweiten bis fünften Geschäftsjahr";;;;
2016;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.1._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich genehmigte Tarife  (in A.7. enthalten)";5538;465;367;261
2016;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.2._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich nicht genehmigte Tarife (Zinszusatzreserve gem. § 5 Abs.3 DeckRV; in A.7. enthalten)";4480;11244;12036;10688
2016;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.3._Veränderung der Deckungsrückstellung zur Verstärkung anderer, bereits feststehender Rechnungsgrundlagen für aufsichtsrechtlich genehmigte und nicht genehmigte Tarife (in A.7. enthalten)";770;745;677;466
2016;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.4._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlagen (Zins und andere), die nicht schon in D.1. bis D.3. enthalten ist (in A.7. enthalten)";0;0;0;0
2016;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.5._Durchschnittlicher Rechnungszins des zweiten bis fünften Geschäftsjahres in %";2,6;2,48;2,37;2,27
2016;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.6._Erwarten Sie für das zweite bis fünfte Geschäftsjahr einen Antrag auf Reduzierung der Mindestzuführung zur RfB gem. MindZV zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben).";1;1;1;1
2016;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.7._Erwarten Sie für das zweite bis fünfte Geschäftsjahr einen Antrag auf Entnahme aus der RfB aufgrund § 140 Abs. 1 Satz 2 VAG zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben)";1;1;0;0
2016;"D._sonstige Angaben zum zweiten bis fünften Geschäftsjahr";"D.8._Deckungsrückstellung zum Ende des Geschäftsjahres (ohne FLV)";627563;678569;729557;776818
2016;"E.";"Angaben zu den Kapitalanlagen in Szenario 1.2";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.1._Kapitalanlagen gesamt";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2._Anlagen mit Rentencharakter";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.1._davon: a. Renten mit Laufzeit bis 5 Jahre";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.2._davon: b. Renten mit Laufzeit 5 bis 10 Jahre";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.3._davon: c. Renten mit Laufzeit ab 10 Jahre";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.4._davon: a. Investment Grade (AAA bis BBB)";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.5._davon: b. Speculative Grade (BB bis B)";;;;
2016;"E._Angaben zu den Kapitalanlagen in Szenario 1.2";"E.2.6_davon: c. Default risk/Default (CCC bis D)";;;;
