"Jahr";"A";"B";"F";"Szenario 1";"Szenario 2";"Szenario 3";"Szenario 4"
2015;"B.";"Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";;;;;
2015;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.1._Eigenmittel A (gem. Rundschreiben 4/2005 (VA))";;34312;34312;34312;34312
2015;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.2._davon: ungebundene, zur Verlustdeckung verwendbare Rückstellung für Beitragsrückerstattung";;13694;13694;13694;13694
2015;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.3._Eigenmittel B (gem. Rundschreiben 4/2005 (VA))";;0;0;0;0
2015;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.4._davon: stille Nettoreserven";;0;0;0;0
2015;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.5._Mindestbetrag des Garantiefonds";;0;0;0;0
2015;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.6._Solvabilitätsspanne";;22054;22054;22054;22054
2015;"C.";"Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";;;;;
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.1._Unsaldierte stille Reserven zum Ende des ersten Geschäftsjahres";;38023;38023;12915;12915
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.2._davon: in zum Nennwert bilanzierten Kapitalanlagen";;5103;5103;1733;1733
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.3._davon: in Immobilien";;0;0;0;0
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.4._davon: in Anteilen an verbundenen Unternehmen und Beteiligungen";;0;0;0;0
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.5._Unsaldierte stille Lasten zum Ende des ersten Geschäftsjahres";;1266;5174;5913;9822
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.6._davon: in zum Nennwert bilanzierten Kapitalanlagen";;170;170;794;794
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.7._Neu- und Wiederanlage (ohne FLV) im ersten Geschäftsjahr";;108306;108306;108306;108306
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.8._Buchwert der Kapitalanlagen zum Ende des ersten Geschäftsjahres (Formblatt 1, Aktivseite, C., RechVersV)";;578870;578870;578870;578870
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.9._Buchwert der Kapitalanlagen zum Ende des Vorjahres (Formblatt 1, Aktivseite, C., RechVersV)";;543513;543513;543513;543513
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.10._Bewertungsreserven in festverzinslichen Anlagen und Zinsabsicherungsgeschäften gem. § 56a Abs. 3 VAG";;36757;32849;7002;3094
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.11._Sicherungsbedarf gem. § 56a Abs. 4 VAG";;143270;;107844;
2015;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"";;;;;
2015;"D.";"sonstige Angaben";;;;;
2015;"D._sonstige Angaben";"D.1._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich genehmigte Tarife  (in A.7. enthalten)";;6064,9620020191;6064,9620020191;6064,9620020191;6064,9620020191
2015;"D._sonstige Angaben";"D.2._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich nicht genehmigte Tarife (Zinszusatzreserve gem. § 5 Abs.3 DeckRV; in A.7. enthalten)";;0;0;0;0
2015;"D._sonstige Angaben";"D.3._Veränderung der Deckungsrückstellung zur Verstärkung anderer, bereits feststehender Rechnungsgrundlagen für aufsichtsrechtlich genehmigte und nicht genehmigte Tarife (in A.7. enthalten)";;1100;1100;1100;1100
2015;"D._sonstige Angaben";"D.4._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlagen (Zins und andere), die nicht schon in D.1., D.2. oder D.3. enthalten ist (in A.7. enthalten)";;0;0;0;0
2015;"D._sonstige Angaben";"D.5._Durchschnittlicher Rechnungszins am Ende des ersten Geschäftsjahres in %";;2,71373792526498;2,71373792526498;2,71373792526498;2,71373792526498
2015;"D._sonstige Angaben";"D.6._Erwarten Sie für das erste Geschäftsjahr einen Antrag auf Reduzierung der Mindestzuführung zur RfB gem. MindZV zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben).";;0;0;0;0
2015;"D._sonstige Angaben";"D.7._Erwarten Sie für das erste Geschäftsjahr einen Antrag auf Entnahme aus der RfB aufgrund § 56b Abs. 1 Satz 2 VAG zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben)";;0;0;0;0
2015;"D._sonstige Angaben";"D.8._Deckungsrückstellung zum Ende des Geschäftsjahres (ohne FLV)";;531413,973703208;531413,973703208;531413,973703208;531413,973703208
2015;"D._sonstige Angaben";"D.9._Zusätzlicher Aufwand für die Absenkung des Rechnungszinses aller aufsichtsrechtlich genehmigten Tarife mit einem Rechungszins über 3,0% auf 3,0% (nicht in A.7. enthalten)";;14134;14134;14134;14134
2015;"D._sonstige Angaben";"D.10._Für PK, die in D.9. keine Eintragung zu machen haben: Zusätzlicher Aufwand für die Absenkung des Rechnungszinses aller aufsichtsrechtlich genehmigten Tarife um 10 Basispunkte (nicht in A.7. enthalten)";;0;0;0;0
2015;"D._sonstige Angaben";"D.11._In der Deckungsrückstellung zum Ende des ersten Geschäftsjahres enthaltene Zinsverstärkung für aufsichtsrechtlich genehmigte Tarife";;10844,3128720191;10844,3128720191;10844,3128720191;10844,3128720191
2015;"D._sonstige Angaben";"D.12._In der Deckungsrückstellung zum Ende des ersten Geschäftsjahres enthaltene Zinszusatzreserve gem. § 5 Abs. 3 DeckRV";;0;0;0;0
2015;"E.";"Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";;;;;
2015;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.1.";;0;0;0;0
2015;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.2.";;0;0;0;0
2015;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.3.";;0;0;0;0
2015;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.4.";;0;0;0;0
2015;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.5.";;0;0;0;0
2015;"F.";"Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";;;;;
2015;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"Für das Folgejahr deklarierte Gesamtverzinsung (Rechnungszins zuzüglich Zinsüberschussanteilsatz bei den im Folgejahr für das Neugeschäft offenen Tarifen):";;;;;
2015;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.1._Rentenversicherungen in der Aufschubzeit (Anwartschaftszeit)";2,25;;0;;
2015;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.2._Rentenversicherungen in der Rentenbezugszeit";2,4;;0;;
2015;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.3._Gesamtzinssatz für die verzinsliche Ansammlung";2,25;;0;;
2015;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.4._Für das Folgejahr deklarierte Zins-Direktgutschrift (bei den im Folgejahr für das Neugeschäft offenen Tarifen)";;;0;;
2015;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.5._Termin des Beschlussvorschlags des Verantwortlichen Aktuars für den Vorstand";42340;;0;;
2015;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.6._Beschlusstermin des Vorstands";42340;;0;;
2015;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.7._Beschluss des Vorstands weicht nicht vom Beschlussvorschlag des Verantwortlichen Aktuars ab";0;;0;;
2016;"A.";"Ergebnisprognose des ersten Geschäftsjahres";;;;;
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.1._Verdiente Beiträge für eigene Rechnung";;41844;41844;41844;41844
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.2._Beiträge aus der Brutto-Rückstellung für Beitragsrückerstattung";;557;557;557;557
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3._Erträge aus Kapitalanlagen";;27273;27273;27273;27273
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.1._davon: laufende Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 1, Zeile 26 ./. Zeile 25)";;19673;19673;19673;19673
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.2._davon: übrige Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 2, Zeile 26 ./. Zeile 25)";;7600;7600;7600;7600
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.4._Nicht realisierte Gewinne aus Kapitalanlagen";;357;0;57;0
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.5._Sonstige versicherungstechnische Erträge für eigene Rechnung";;19;19;19;19
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.6._Aufwendungen für Versicherungsfälle für eigene Rechnung";;12242;12242;12242;12242
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.7._Veränderung der übrigen versicherungstechnischen Netto-Rückstellungen";;50672;49352;50372;49052
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.8._Aufwendungen für die erfolgsabhängige Beitragsrückerstattung für eigene Rechnung";;690;690;690;690
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.9._Aufwendungen für den Versicherungsbetrieb für eigene Rechnung";;1907;1907;1907;1907
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10._Aufwendungen für Kapitalanlagen";;2189;2189;2189;2189
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.1._davon: laufende Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 3, Zeile 26 ./. Zeile 25)";;953;953;953;953
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.2._davon: übrige Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 4, Zeile 26 ./. Zeile 25)";;1235;1235;1235;1235
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.11._Nicht realisierte Verluste aus Kapitalanlagen";;0;963;0;1263
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.12._Sonstige versicherungstechnische Aufwendungen für eigene Rechnung";;2743;2743;2743;2743
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.13._Versicherungstechnisches Ergebnis für eigene Rechnung";;-393;-393;-393;-393
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.14._Saldo der Posten II.1., II.2., II.4., II.5. und II.7. bis II.10. aus Formblatt 3 RechVersV";;-342;-342;-342;-342
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.15_Ausgleichsposten aus dem Vorjahr";;0;0;0;0
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.16._Jahresüberschuss/Jahresfehlbetrag";;-735;-735;-735;-735
2016;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.17._nachrichtlich: Ergebnis aus dem abgegebenen VG";;0;0;0;0
2016;"B.";"Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";;;;;
2016;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.1._Eigenmittel A (gem. Rundschreiben 4/2005 (VA))";;41917;41917;41917;41917
2016;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.2._davon: ungebundene, zur Verlustdeckung verwendbare Rückstellung für Beitragsrückerstattung";;18576;18576;18576;18576
2016;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.3._Eigenmittel B (gem. Rundschreiben 4/2005 (VA))";;;;;
2016;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.4._davon: stille Nettoreserven";;;;;
2016;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.5._Mindestbetrag der Mindestkapitalanforderung";;;;;
2016;"B._Angaben zur Solvabilität zum Ende des ersten Geschäftsjahres";"B.6._Solvabilitätsspanne";;23770;23770;23770;23770
2016;"C.";"Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";;;;;
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.1._Unsaldierte stille Reserven zum Ende des ersten Geschäftsjahres";;74546;74546;37596;37596
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.2._davon: in zum Nennwert bilanzierten Kapitalanlagen";;16215;16215;8178;8178
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.3._davon: in Immobilien";;0;0;0;0
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.4._davon: in Anteilen an verbundenen Unternehmen und Beteiligungen";;0;0;0;0
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.5._Unsaldierte stille Lasten zum Ende des ersten Geschäftsjahres";;0;2086;0;2086
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.6._davon: in zum Nennwert bilanzierten Kapitalanlagen";;0;0;0;0
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.7._Neu- und Wiederanlage (ohne FLV) im ersten Geschäftsjahr";;131810;131810;131810;131810
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.8._Buchwert der Kapitalanlagen zum Ende des ersten Geschäftsjahres (Formblatt 1, Aktivseite, C., RechVersV)";;609563;609563;609563;609563
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.9._Buchwert der Kapitalanlagen zum Ende des Vorjahres (Formblatt 1, Aktivseite, C., RechVersV)";;564508;564508;564508;564508
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.10._Bewertungsreserven in festverzinslichen Anlagen und Zinsabsicherungsgeschäften gem. § 139 Abs. 3 VAG";;74364;74364;37414;37414
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"C.11._Sicherungsbedarf gem. § 139 Abs. 4 VAG";;258201;;;
2016;"C._Zusatzangaben zu Kapitalanlagen und zum Sicherungsbedarf für das erste Geschäftsjahr";"";;;;;
2016;"D.";"sonstige Angaben";;;;;
2016;"D._sonstige Angaben";"D.1._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich genehmigte Tarife  (in A.7. enthalten)";;6232;6232;6232;6232
2016;"D._sonstige Angaben";"D.2._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlage Zins für aufsichtsrechtlich nicht genehmigte Tarife (Zinszusatzreserve gem. § 5 Abs.3 DeckRV; in A.7. enthalten)";;2062;2062;2062;2062
2016;"D._sonstige Angaben";"D.3._Veränderung der Deckungsrückstellung zur Verstärkung anderer, bereits feststehender Rechnungsgrundlagen für aufsichtsrechtlich genehmigte und nicht genehmigte Tarife (in A.7. enthalten)";;891;891;891;891
2016;"D._sonstige Angaben";"D.4._Veränderung der Deckungsrückstellung zur Verstärkung der Rechnungsgrundlagen (Zins und andere), die nicht schon in D.1., D.2. oder D.3. enthalten ist (in A.7. enthalten)";;0;0;0;0
2016;"D._sonstige Angaben";"D.5._Durchschnittlicher Rechnungszins des ersten Geschäftsjahres in %";;2,71;2,71;2,71;2,71
2016;"D._sonstige Angaben";"D.6._Erwarten Sie für das erste Geschäftsjahr einen Antrag auf Reduzierung der Mindestzuführung zur RfB gem. MindZV zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben).";;1;1;1;1
2016;"D._sonstige Angaben";"D.7._Erwarten Sie für das erste Geschäftsjahr einen Antrag auf Entnahme aus der RfB aufgrund § 140 Abs. 1 Satz 2 VAG zu stellen? Antwortmöglichkeiten: 0=nein, 1=ja (bei Möglichkeit 1 bitte Erläuterung im Anschreiben)";;0;0;0;0
2016;"D._sonstige Angaben";"D.8._Deckungsrückstellung zum Ende des Geschäftsjahres (ohne FLV)";;576955;576955;576955;576955
2016;"D._sonstige Angaben";"D.9._Zusätzlicher Aufwand für die Absenkung des Rechnungszinses aller aufsichtsrechtlich genehmigten Tarife mit einem Rechungszins über 3,0% auf 3,0% (nicht in A.7. enthalten)";;14832;14832;14832;14832
2016;"D._sonstige Angaben";"D.10._Für PK, die in D.9. keine Eintragung zu machen haben: Zusätzlicher Aufwand für die Absenkung des Rechnungszinses aller aufsichtsrechtlich genehmigten Tarife um 10 Basispunkte (nicht in A.7. enthalten)";;0;0;0;0
2016;"D._sonstige Angaben";"D.11._In der Deckungsrückstellung zum Ende des ersten Geschäftsjahres enthaltene Zinsverstärkung für aufsichtsrechtlich genehmigte Tarife";;16433;16433;16433;16433
2016;"D._sonstige Angaben";"D.12._In der Deckungsrückstellung zum Ende des ersten Geschäftsjahres enthaltene Zinszusatzreserve gem. § 5 Abs. 3 DeckRV";;2433;2433;2433;2433
2016;"E.";"Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";;;;;
2016;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.1._Zusätzlicher Schutz der Versorgungsberechtigten durch Arbeitgeber/Dritte in % der Deckungsrückstellung";;100;;;
2016;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.2.";;;;;
2016;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.3.";;;;;
2016;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.4.";;;;;
2016;"E._Freitextfelder für Sonderabfragen (nur dann erforderlich, wenn ausdrücklich verlangt)";"E.5.";;;;;
2016;"F.";"Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";;;;;
2016;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"Für das Folgejahr deklarierte Gesamtverzinsung (Rechnungszins zuzüglich Zinsüberschussanteilsatz bei den im Folgejahr für das Neugeschäft offenen Tarifen):";;;;;
2016;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.1._Rentenversicherungen in der Aufschubzeit (Anwartschaftszeit)";1,75;;;;
2016;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.2._Rentenversicherungen in der Rentenbezugszeit";1,75;;;;
2016;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.3._Gesamtzinssatz für die verzinsliche Ansammlung";1,75;;;;
2016;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.4._Für das Folgejahr deklarierte Zins-Direktgutschrift (bei den im Folgejahr für das Neugeschäft offenen Tarifen)";0;;;;
2016;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.5._Termin des Beschlussvorschlags des Verantwortlichen Aktuars für den Vorstand";42705;;;;
2016;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.6._Beschlusstermin des Vorstands";42712;;;;
2016;"F._Überschussdeklaration für das Folgejahr (nur dann erforderlich, wenn ausdrücklich verlangt)";"F.7._Beschluss des Vorstands weicht nicht vom Beschlussvorschlag des Verantwortlichen Aktuars ab";0;;;;
2017;"A.";"Ergebnisprognose des ersten Geschäftsjahres";;;;;
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.1._Verdiente Beiträge für eigene Rechnung";;40888;40888;40888;40888
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.2._Beiträge aus der Brutto-Rückstellung für Beitragsrückerstattung";;344;344;344;344
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3._Erträge aus Kapitalanlagen";;27222;27222;27222;27222
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.1._davon: laufende Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 1, Zeile 26 ./. Zeile 25)";;22322;22322;22322;22322
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.3.2._davon: übrige Erträge aus Kapitalanlagen (Nw. 201, S. 1, Spalte 2, Zeile 26 ./. Zeile 25)";;4900;4900;4900;4900
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.4._Nicht realisierte Gewinne aus Kapitalanlagen";;743;0;894;0
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.5._Sonstige versicherungstechnische Erträge für eigene Rechnung";;5041;5041;5041;5041
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.6._Aufwendungen für Versicherungsfälle für eigene Rechnung";;14452;14452;14452;14452
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.7._Veränderung der übrigen versicherungstechnischen Netto-Rückstellungen";;51270;48909;51421;48814
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.8._Aufwendungen für die erfolgsabhängige Beitragsrückerstattung für eigene Rechnung";;1009;1009;1009;1009
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.9._Aufwendungen für den Versicherungsbetrieb für eigene Rechnung";;1444;1444;1444;1444
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10._Aufwendungen für Kapitalanlagen";;5385;5385;5385;5385
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.1._davon: laufende Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 3, Zeile 26 ./. Zeile 25)";;1187;1187;1187;1187
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.10.2._davon: übrige Aufwendungen für Kapitalanlagen (Nw. 201, S. 1, Spalte 4, Zeile 26 ./. Zeile 25)";;4198;4198;4198;4198
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.11._Nicht realisierte Verluste aus Kapitalanlagen";;0;1618;0;1713
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.12._Sonstige versicherungstechnische Aufwendungen für eigene Rechnung";;83;83;83;83
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.13._Versicherungstechnisches Ergebnis für eigene Rechnung";;595;595;595;595
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.14._Saldo der Posten II.1., II.2., II.4., II.5. und II.7. bis II.10. aus Formblatt 3 RechVersV";;-555;-555;-555;-555
2017;"A._Ergebnisprognose des ersten Geschäftsjahres";"A.15_Ausgleichsposten aus dem Vorjahr";;0;0;0;0
