2015;"KA";"Aufwendungen für Kapitalanlagen";;-1003811,64;-1663109,06;-356364,58;-775699,48;-3365715,09;-1456954,52;-3388895,64;-2160623,87524106;-816628,875241056;-829466,875241056;-829466,875241056;-829466,875241056;-829466,875241056;-829466,875241056;-829466,875241056;-829466,875241056;-829466,875241056;-829466,875241056;;;;;;;;;;;;;;;;;;;;;;;;-456313,65;-219152,44;-694196,35;-822252,15;-464546,36;-1098236,78;
2015;"KA";"Ergebnis der Kapitalanlage";;7019134,32;9132624,52;11623225,45;12845538,83;14987669,1;17741737,34;22058608,62;23382342,2762949;24550479,9058981;29085762,6085499;32540850,4767738;29397891,2717525;29854424,5283728;31356758,7606945;32831793,257153;34204465,8266739;35476143,4953433;36782190,424607;;;;;;;;;;;;;;;;;;;;;;;;9988851,12;5074876,33;14594002,07;16110320,87;8194534,63;23777583,83;
2015;"KA";"anzurechende Kapitalerträge in %";;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;;;;;;;;;;;;;;;;;;;;;;;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;
2015;"KA";"anzurechende Kapitalerträge";;6861203,7978;8927140,4683;11361702,877375;12556514,206325;14650446,54525;17342548,24985;21562289,92605;22856239,5750782;23998094,1080154;28431332,9498575;31808681,3410464;28736438,7181381;29182699,9764844;30651231,6885789;32093077,908867;33434865,3455737;34677930,266698;35954591,1400534;;;;;;;;;;;;;;;;;;;;;;;;9764101,9698;4960691,612575;14265637,023425;15747838,650425;8010157,600825;23242588,193825;
2015;"KA";"90 % des Ergebnis der Kapitalanlage";;6175083,41802;8034426,42147;10225532,5896375;11300862,7856925;13185401,890725;15608293,424865;19406060,933445;20570615,6175704;21598284,6972139;25588199,6548718;28627813,2069418;25862794,8463243;26264429,978836;27586108,519721;28883770,1179803;30091378,8110163;31210137,2400282;32359132,026048;;;;;;;;;;;;;;;;;;;;;;;0,9;8787691,77282;4464622,4513175;12839073,3210825;14173054,7853825;7209141,8407425;20918329,3744425;
2015;"KA";"rechnungsmäßige Zinsen gesamt";;-5867991,74;-7074994,09;-8299207,21;-9557761,88;-10942635,4;-12102151,39;-13176136,0148369;-14449028,8566267;-15636577,933153;-16760867,2385848;-17835783,7028976;-18905603,3910271;-19919960,6435212;-20916299,4011048;-21773107,4231605;-22609860,0984184;-23230693,1888197;0;;;;;;;;;;;;;;;;;;;;;;;;-6583944,95741847;-3291972,47870924;-9875917,43612771;-7223552,08624454;-3611767,37812227;-10835360,4243668;
2015;"KA";"Aufwand Zinszusatzreserve";;;;;;;0;-4779350,87;-6064962,0020191;-8054671,06368345;-10927345,591727;-14733331,325438;-13634704,4115599;-7779305,05683657;-7529710,60470652;-18230,8701099578;1010163,90152105;3779235,32234384;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"KA";"Zuführung (>0)";;307091,67802;959432,331470001;1926325,3796375;1743100,9056925;2242766,490725;3506142,034865;1450574,04860806;56624,7589246426;0;0;0;0;0;0;7092431,8247099;8491682,61411897;11758679,3735524;32359132,026048;;;;;;;;;;;;;;;;;;;;;;;;2203746,81540153;1172649,97260826;2963155,8849548;6949502,69913795;3597374,46262023;10082968,9500757;
2015;"Übriges Ergebnis";"Übriges Ergebnis (Kosten und Sonstiges)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;"Übriges Ergebnis";"Kostenergebnis";;915262,05;1292731,29;1263622,35;1010434,29;857235,29;1209121,73;1527159,50550522;1163718,61577424;1261139,89816307;1308085,76197112;1257068,06145095;1254354,33321576;1236367,31762334;1209220,61212677;1183145,90080344;1147769,15787652;1101646,16019679;1068584,98262264;;;;;;;;;;;;;;;;;;;;;;;;-247379,736887425;-1288685,31601683;-44863,3785766807;-997195,439198376;-1178786,85917421;-291248,635909597;
2015;"Übriges Ergebnis";"Sonstiges Ergebnis";;-745160,235933023;-503599,96;-777324,68;-537096,4;-1379778,48;-449984,09;-1562851,45;-1007530,32554543;-949860,603737768;-972254,033323462;-919392,25174164;-894110,976882309;-235962,236882309;-235961,236882309;-235960,236882309;-447438,6074393;-883648,526335438;-837351,78442116;;;;;;;;;;;;;;;;;;;;;;;;-262402,97;-46207,59;-488900,11;-623062,2;-320858,69;-930355,44;
2015;"Übriges Ergebnis";"Risiko: vorzeitiger Abgang";;231676,159999999;202927,01;36004,99;-215262,220000001;-1409635,17;363497,179999997;126872,889013904;462738,739557243;480604,952911923;514290,251680246;548454,505215806;569212,538991599;589190,736351579;621934,164813806;639093,968316726;634092,840351534;632278,212262721;641276,251136991;;;;;;;;;;;;;;;;;;;;;;;;63436,444506952;31718,222253476;95154,6667604281;231369,369778621;115684,684889311;347054,054667932;
2015;"Übriges Ergebnis";"Unterschied aus Tarif-/ Normbeitrag";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;
2015;"Übriges Ergebnis";"Summe";;401777,974066977;992058,34;522302,66;258075,67;-1932178,36;1122634,82;91180,9445191258;618927,029786055;791884,24733722;850121,980327903;886130,314925119;929455,895325055;1589595,81709262;1595193,54005826;1586279,63223785;1334423,39078875;850275,846124077;872509,449338467;;;;;;;;;;;;;;;;;;;;;;;;-446346,262380473;-1303174,68376336;-438608,821816253;-1388888,26941975;-1383960,8642849;-874550,021241665;
2015;"Übriges Ergebnis";"Zuführung (>0)";;200888,987033488;496029,17;261151,33;129037,835;0;561317,409999999;45590,4722595629;309463,514893028;395942,12366861;425060,990163952;443065,15746256;464727,947662527;794797,908546308;797596,770029132;793139,816118927;667211,695394376;425137,923062038;436254,724669234;;;;;;;;;;;;;;;;;;;;;;;0,5;0;0;0;0;0;0;
2015;"Mindestzuführung - Gesamt vor DG";;;507980,665053489;1526462,51272;2187476,7096375;1872138,7406925;2242766,490725;4563933,92867288;1669451,0153664;366088,27381767;395942,12366861;425060,990163952;443065,15746256;464727,947662527;794797,908546308;797596,770029132;7902133,96203589;9207928,44150473;12538638,9159937;32795386,7507173;;;;;;;;;;;;;;;;;;;;;;;;3161999,94113095;2482627,81615282;3555102,85348308;6949502,69913795;3597374,46262023;10082968,9500757;
2015;"Direktgutschrift";;;0;8780,03;85062,32;125625,55;218028,37;512779,36;370480,44;383902,628469469;407813,288905732;429081,399809231;446662,597818045;462208,135175722;478521,217871688;493056,903459606;505431,749735826;518672,888166538;532336,834048498;544082,084148255;;;;;;;;;;;;;;;;;;;;;;;;169807,18;113285,11;229456,46;8780,03;0;85062,32;
2015;"Mindestzuführung - Gesamt nach DG";;;507980,665053489;1517682,48272;2102414,3896375;1746513,1906925;2024738,120725;4051154,56867288;1298970,5753664;-17814,354651799;-11871,1652371222;-4020,409645279;-3597,44035548571;2519,8124868056;316276,69067462;304539,866569526;7396702,21230006;8689255,55333819;12006302,0819452;32251304,666569;;;;;;;;;;;;;;;;;;;;;;;;2992192,76113095;2369342,70615282;3325646,39348308;6940722,66913795;3597374,46262023;9997906,63007568;
2015;"Zuführung zur RfB";;;2576976,76;3922152,37;3627119,62;4387446,35;2469056,23;7085762,73;4046280,55;2563903,18400874;964953,934976549;1444028,91034192;164041,543427214;0;2761568,42678705;3389834,03099071;10753734,1597599;11952868,0325525;14940679,5208496;19234668,5108783;;;;;;;;;;;;;;;;;;;;;;;;4021338,47;2093937,33;4918742,19;2451453,83;891020,89;3915812,19;
2015;"Übererfüllung";;;2068996,09494651;2404469,88728;1524705,2303625;2640933,1593075;444318,109274999;3034608,16132712;2747309,97463359;2581717,53866054;976825,100213672;1448049,3199872;167638,9837827;-2519,8124868056;2445291,73611243;3085294,16442119;3357031,94745988;3263612,47921429;2934377,43890435;-13016636,1556907;;;;;;;;;;;;;;;;;;;;;;;;1029145,70886905;-275405,376152816;1593095,79651692;-4489268,83913795;-2706353,57262023;-6082094,44007568;
2015;"Mindestzuführung erfüllt";;;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0;0;0;
2016;"Risiko";"Risikoergebnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;"Risiko";"Risikoergebnis";;-23076,9188548582;94668,015;-300019,760000001;-274578,926115304;-2505566,682;661965,978410503;231048,659331709;2944306,15724068;-246578,764585963;-174026,386484161;-178387,79901126;-162088,898773363;-118416,557233748;-130394,43528432;-33346,6029588599;-58189,3257893967;329463,171177913;690831,588983316;789434,320752547;816265,85684635;929984,609347217;969777,694643291;1106601,80203232;1017240,96877974;1207530,92829734;1327803,30256309;1267255,17453313;1451905,82143309;1629838,31178558;;;;;;;;;;;;;;;;-6113532,56455708;-2867897,04270351;-10418637,6997236;556423,866279027
2016;"Risiko";"Zuführung (>0)";;0;85201,2135;0;0;0;595769,380569453;207943,793398538;2649875,54151662;0;0;0;0;0;0;0;0;296516,854060122;621748,430084984;710490,888677293;734639,271161715;836986,148412496;872799,925178962;995941,62182909;915516,871901765;1086777,83546761;1195022,97230678;1140529,65707982;1306715,23928978;1466854,48060702;;;;;;;;;;;;0,9;;;;0;0;0;500781,479651124
2016;"KA";"Nebenrechnung: Zinstragende Passiva (inkl. AV 8)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittl. Deckungsrückstellung";;;;;;;;;503640083,08;552245346,71159;602258892,989911;653066035,62864;704062852,8073;753187244,841183;794563029,508507;828462098,573631;859936347,716886;887714263,129698;912531237,490443;935627793,356174;956150128,246863;971356941,10667;981847213,821568;990210260,284447;995898330,448408;999081044,670267;997828476,308051;996595732,355087;995243509,616128;991317941,851323;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittl. noch nicht fällige Ansprüche an VN";;;;;;;;;317262,33;232443,38099974;128563,773857046;38082,7387952367;-14795,858504018;-36643,7809161976;-43205,9264393955;-47963,2579514768;-53595,9112916357;-57415,4442936312;-29486,3659883257;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittl. Beitragsüberträge";;;;;;;;;5220591,07;5210036,78867749;5173390,84895826;5100870,97747764;5010661,14890049;4918782,53754798;4819881,44208782;4688791,06023643;4517714,26428653;4352390,56593233;4185448,57741728;4026226,06685445;3852910,77405179;3689676,58374775;3522006,00155129;3291548,39154445;3098330,92111434;2966479,09586457;2872400,85163037;2766688,36835224;2656621,71688035;2555424,02863127;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittl. Rückstellung f. noch nicht abgew. VF";;;;;;;;;828653,385;753692,415;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;759000;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittl. angesammelte Überschüsse";;;;;;;;;266216,495;281829,292993873;290123,009081248;298527,791387783;306755,134130419;314553,913456209;322016,458395258;329467,252582581;336940,184230372;337596,236917935;167974,766253801;1425,12105704475;1448,74526621321;1471,24079415395;1472,97196888242;1479,66686740842;1494,28514068171;1491,31063495195;1491,23853280764;1501,51878379282;1492,75919345022;1476,9693835157;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittl. RfB";;;;;;;;;16977463,285;18896878,8787117;16289622,4520901;10927196,4484046;8127637,6741417;7878742,83246513;7636036,29125526;7397495,9896088;7166240,2933245;6896946,31665933;6616612,79680923;6348683,83610157;6063378,96628354;5751536,3214885;5418812,43447714;5075050,70209917;4720668,14549609;4386445,23137582;4068610,8823956;3773976,20490796;3492985,57413975;3194035,64103856;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittl. übrige versicherungstechnische Rückst.";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;4;5;6;7;8;9;10;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittleres Eigenkapital (ohne Nachrangdarlehen)";;;;;;;;;23760656,04;23708206,9669027;23415757,8938054;23565757,8938054;23710757,8938054;24090757,8938054;25035757,8938054;23874906,9872234;20211574,6538944;16590666,5018565;13207925,0129227;10130883,0069866;7215528,08225496;5329767,43606385;4515303,33833706;3791154,99135829;3228905,43963483;2905375,86811178;2866278,63530745;2774041,83538481;2636805,03546217;2866805,03546217;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittlere nachrangigen Verbindlichkeiten";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittlere Rückstellungen";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
2016;"KA";"mittleres passives Rückversicherungsgeschäft";;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
2016;"KA";"Kapitalanlageergebnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;"KA";"Ordentliche und ausserordentliche Erträge aus Kapitalanlagen";;8022945,96;10795733,58;11979590,03;13621238,31;18353384,19;19198691,86;25447504,26;24988265,86;27272915,2867483;22470364,3083141;25320151,1279712;32018852,2134495;32083332,1737117;22966592,0221439;20290030,828377;20941219,5221264;21510511,828914;22015674,3855703;22466928,0678072;22903160,3908118;23242934,7231674;23477640,3034101;23634262,5301086;23825174,5742831;23951008,9293475;23983774,9820351;23400435,9319623;23357370,5148129;23348804,827785;;;;;;;;;;;;;;;;16932573,02;8659080,99;24875820,61;6151558,17
2016;"KA";"Aufwendungen für Kapitalanlagen";;-1003811,64;-1663109,06;-356364,58;-775699,48;-3365715,09;-1456954,52;-3388895,64;-1469224,75;-2188605,76186955;-2364059,04914974;-2404059,04914974;-2444059,04914974;-2444059,04914974;-2444059,04914974;-4353397,80262605;-4353397,80262605;-4353397,80262605;-4353397,80262605;-4353397,80262605;-4353397,80262605;-2444059,04914974;-2444059,04914974;-2444059,04914974;-2444059,04914974;-2444059,04914974;-2444059,04914974;-2444059,04914974;-2444059,04914974;-2444059,04914974;;;;;;;;;;;;;;;;-822252,15;-464546,36;-1098236,78;-417075,66
2016;"KA";"Ergebnis der Kapitalanlage";;7019134,32;9132624,52;11623225,45;12845538,83;14987669,1;17741737,34;22058608,62;23519041,11;25084309,5248788;20106305,2591644;22916092,0788215;29574793,1642997;29639273,1245619;20522532,9729941;15936633,0257509;16587821,7195003;17157114,0262879;17662276,5829442;18113530,2651811;18549762,5881857;20798875,6740177;21033581,2542604;21190203,4809589;21381115,5251334;21506949,8801977;21539715,9328853;20956376,8828125;20913311,4656631;20904745,7786353;;;;;;;;;;;;;;;;16110320,87;8194534,63;23777583,83;5734482,51
2016;"KA";"anzurechende Kapitalerträge in %";;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,9775;0,956878067326049;0,960573614003164;0,963882148002737;0,966031607875347;0,968043201498532;0,969548250375793;0,969948406181824;0,972413742688175;0,977363469373435;0,98189964531101;0,985910625580174;0,989412742804921;0,992592182729151;0,994599422320956;0,995466853342228;0,996220668639382;0,996795788566333;0,997123674564831;0,997157587017097;0,997244341023134;0,997375766156541;0,997135185132879;;;;;;;;;;;;;;;;0;0;0;0
2016;"KA";"anzurechende Kapitalerträge";;6861203,7978;8927140,4683;11361702,877375;12556514,206325;14650446,54525;17342548,24985;21562289,92605;22504854,6026987;24095325,8550868;19380108,7016021;22137669,2771234;28629677,4584256;28736705,4003293;19905798,1479696;15497000,9664185;16212330,9851189;16846564,1769727;17413426,1550606;17921757,6615528;18412349,3365148;20686549,7303034;20938232,9456966;21110118,6804054;21312605,9103032;21445088,8932244;21478491,1646696;20898628,2547328;20858430,0459361;20844857,5521352;;;;;;;;;;;;;;;;0;0;0;0
2016;"KA";"90 % des Ergebnis der Kapitalanlage";;6175083,41802;8034426,42147;10225532,5896375;11300862,7856925;13185401,890725;15608293,424865;19406060,933445;20254369,1424288;21685793,2695781;17442097,8314419;19923902,3494111;25766709,7125831;25863034,8602964;17915218,3331726;13947300,8697766;14591097,886607;15161907,7592754;15672083,5395546;16129581,8953975;16571114,4028634;18617894,757273;18844409,651127;18999106,8123649;19181345,3192729;19300580,003902;19330642,0482027;18808765,4292595;18772587,0413425;18760371,7969217;;;;;;;;;;;;0,9;;;;0;0;0;0
2016;"KA";"rechnungsmäßige Zinsen gesamt";;-5867991,74;-7074994,09;-8299207,21;-9557761,88;-10942635,4;-12102151,39;-13176136,0148369;-14708864,5500747;-15481976,1304789;-16560125,0684297;-17558873,3730647;-18538645,6443098;-19400207,6732328;-20294678,158133;-21085364,2004081;-21783526,909704;-22343301,0663101;-22909900,9722388;-23293656,1038621;-23757671,6109217;-23952727,3476573;-24106723,5168283;-24190019,9161781;-24025102,8471023;-23990743,5682146;-23795045,1938239;-23477807,4139463;-23282636,1419134;-22966733,6335506;;;;;;;;;;;;;;;;-7223552,08624454;-3611767,37812227;-10835360,4243668;-3869643,2164036
2016;"KA";"Aufwand Zinszusatzreserve";;;;;;;0;-4779350,87;-5792342,25;-8293988,40840595;-5018131,25608772;-6708758,89607814;-12403215,4581559;-10948187,65923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
2016;"KA";"Zuführung (>0)";;307091,67802;959432,331470001;1926325,3796375;1743100,9056925;2242766,490725;3506142,034865;1450574,04860806;0;0;-2198147,62291531;-2129962,99201941;-2312183,64404007;-1611689,93213356;-388880,010163408;-5588363,23398965;-5571195,92458517;-5496736,88933746;-5496474,81717823;-5371898,4423093;-5345322,27440688;-3266177,61735389;-3168490,57113172;-3079901,2357727;-2712496,93679908;-2545654,67499018;-2316554,02915428;-2579179,15921347;-2424206,09597729;-2121876,08141541;;;;;;;;;;;;;;;;0;0;0;0
2016;"Übriges Ergebnis";"Übriges Ergebnis (Kosten und Sonstiges)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;"Übriges Ergebnis";"Kostenergebnis";;915262,05;1292731,29;1263622,35;1010434,29;857235,29;1209121,73;1527159,50550522;1306647,60283398;1062981,4041195;1289997,78307664;1201044,66469498;1202500,5538182;1178895,96378886;1160184,59101047;1124438,94547815;1088302,41004757;1046253,41867657;1010557,79707058;963821,086984979;929671,640198378;879470,065226384;820915,673088914;768238,807116646;709754,076156078;666626,289542997;620809,644225258;569945,803830985;544761,041491365;510942,823366043;;;;;;;;;;;;;;;;-997195,439198376;-1178786,85917421;-291248,635909597;-1202946,33268468
2016;"Übriges Ergebnis";"Sonstiges Ergebnis";;-745160,235933023;-503599,96;-777324,68;-537096,4;-1379778,48;-449984,09;-1562851,45;-1295902,07;-2957065,69290034;-248063,949629198;-274272,469190989;-273315,529157012;-453687,953604441;-696433,988989121;-217189,552900339;-217188,552900339;-217187,552900339;-217186,552900339;41117,52;41118,52;41119,52;41120,52;41121,52;41122,52;41123,52;41124,52;41125,52;41126,52;41127,52;;;;;;;;;;;;;;;;-623062,2;-320858,69;-930355,44;-306999,43
2016;"Übriges Ergebnis";"Risiko: vorzeitiger Abgang";;231676,159999999;202927,01;36004,99;-215262,220000001;-1409635,17;363497,179999997;126872,889013904;2572555,16804873;314541,069941313;282246,171641223;280410,723265206;278354,243548157;268421,124608809;256485,947712311;239368,030809576;217419,429354165;104175,83977016;99185,7028083503;101176,788872246;108119,941327015;104579,464176461;100774,277087555;93396,8985370239;87687,1536134267;84785,3650423465;82652,0134267285;81841,8917044001;79753,5127707282;72003,6475753766;;;;;;;;;;;;;;;;231369,369778621;115684,684889311;347054,054667932;78635,2674853283
2016;"Übriges Ergebnis";"Unterschied aus Tarif-/ Normbeitrag";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;0;0;0
2016;"Übriges Ergebnis";"Summe";;401777,974066977;992058,34;522302,66;258075,67;-1932178,36;1122634,82;91180,9445191258;2583300,70088271;-1579543,21883953;1324180,00508866;1207182,91876919;1207539,26820934;993629,134793231;720236,549733659;1146617,42338739;1088533,2865014;933241,705546389;892556,946978592;1106115,39585723;1078910,10152539;1025169,04940284;962810,470176469;902757,22565367;838563,749769505;792535,174585344;744586,177651987;692913,215535385;665641,074262093;624073,990941419;;;;;;;;;;;;;;;;-1388888,26941975;-1383960,8642849;-874550,021241665;-1431310,49519935
2016;"Übriges Ergebnis";"Zuführung (>0)";;200888,987033488;496029,17;261151,33;129037,835;0;561317,409999999;45590,4722595629;1291650,35044135;0;662090,002544331;603591,459384597;603769,634104671;496814,567396615;360118,274866829;573308,711693693;544266,643250698;466620,852773195;446278,473489296;553057,697928613;539455,050762696;512584,524701422;481405,235088235;451378,612826835;419281,874884752;396267,587292672;372293,088825993;346456,607767692;332820,537131047;312036,99547071;;;;;;;;;;;;0,5;;;;0;0;0;0
2016;"Mindestzuführung - Gesamt vor DG";;;507980,665053489;1540662,71497;2187476,7096375;1872138,7406925;2242766,490725;4663228,82543445;1704108,31426616;3941525,89195797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;0;0;500781,479651124
2016;"Direktgutschrift";;;0;8780,03;85062,32;125625,55;218028,37;512779,36;370480,44;-20396,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;8780,03;0;85062,32;125625,55
2016;"Mindestzuführung - Gesamt nach DG";;;507980,665053489;1531882,68497;2102414,3896375;1746513,1906925;2024738,120725;4150449,46543445;1333627,87426616;3961921,97195797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;-8780,03;0;-85062,32;375155,929651124
2016;"Zuführung zur RfB";;;2576976,76;3922152,37;3627119,62;4387446,35;2469056,23;7085762,73;4046280,55;5944440,46;690000;4730,33393256846;1433,84641492003;8895,11509190535;7417,39182229759;1417,51766019408;0;0;0;0;0;0;0;0;0;0;0;8237,72788954944;0;7406,43799615324;989,977890577633;;;;;;;;;;;;;;;;2451453,83;891020,89;3915812,19;346513,47
2016;"Übererfüllung";;;2068996,09494651;2390269,68503;1524705,2303625;2640933,1593075;444318,109274999;2935313,26456555;2712652,67573384;1982518,48804203;690000;4730,33393256846;1433,84641492003;8895,11509190535;7417,39182229759;1417,51766019408;0;0;0;0;0;0;0;0;0;0;0;8237,72788954944;0;7406,43799615324;989,977890577633;;;;;;;;;;;;;;;;2460233,86;891020,89;4000874,51;-28642,4596511243
2016;"Mindestzuführung erfüllt";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;1;1;0
2017;"GESAMT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;"Risiko";"Risikoergebnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;"Risiko";"Risikoergebnis";;-23076,9188548582;94668,015;-300019,760000001;-274578,926115304;-2505566,682;661965,978410503;231048,659331709;2944306,15724068;136001,341738987;14914,1395176934;117656,867834742;170165,686229691;225907,164883064;297780,111056912;373853,51376105;470249,768287206;797388,660536532;1241097,85058725;1316051,68805811;1475355,88668268;1610805,5573033;1696548,63423352;1802057,25435151;1985208,52710376;2049672,20322341;2201506,88789954;2388406,67062539;2590436,81562996;2817205,05673385;2999201,56258866;0;0;0;0;0;0;0;0;0;0;;;;;;;;
